variant,block,trainable,gaze_mass,gaze_mass_max_head,hand_mass,hand_mass_max_head,gaze_vs_uniform,gaze_max_head_vs_uniform
real,0,False,0.1239086523031195,0.9996373703082403,0.2584369045992692,0.9999081666270891,31.96843229420483,257.906441539526
real,1,False,0.088289816553394,0.38411638264854747,0.5394889339804649,0.9915549506743749,22.778772670775652,99.10202672332525
real,2,False,0.21390939876437187,0.30826405187447864,0.6275249371925989,0.907291479408741,55.18862488120794,79.5321253836155
real,3,False,0.06606085070719321,0.22131404839456081,0.7447395026683807,0.997497354944547,17.04369948245585,57.09902448579669
real,4,False,0.19201252919932207,0.3779229708015919,0.3641522042453289,0.8993233367800713,49.53923253342509,97.5041264668107
real,5,False,0.22902964986860752,0.4218803358574708,0.4004209165771802,0.8389752010504404,59.08964966610074,108.84512665122747
real,6,False,0.21801787180205187,0.3823059983551502,0.41524266824126244,0.7776084542274475,56.24861092492938,98.63494757562876
real,7,False,0.25957570783793926,0.39272578805685043,0.4041323388616244,0.6074715803066889,66.97053262218833,101.32325331866741
real,8,False,0.23026886706550917,0.37554943313201267,0.3441080016394456,0.5365937302509943,59.40936770290136,96.89175374805927
real,9,False,0.17906498784820238,0.3574906066060066,0.26785228215157986,0.5346187924345335,46.198766864836216,92.23257650434971
real,10,False,0.17547900105516115,0.34220325698455173,0.27229899416367215,0.5396772374709448,45.27358227223158,88.28844030201435
real,11,False,0.17233269413312277,0.3554062582552433,0.2592692468315363,0.5410744448502859,44.46183508634567,91.69481462985277
real,12,False,0.14537782532473406,0.28797242293755215,0.21407433226704597,0.42219388857483864,37.507478933781385,74.29688511788845
real,13,False,0.12800645673026642,0.39842720081408817,0.18536010570824146,0.5499694546063741,33.025665836408734,102.79421781003475
real,14,False,0.11815069150179625,0.27464632876217365,0.16804284664491811,0.3947286084294319,30.48287840746343,70.8587528206408
real,15,False,0.15198397388060889,0.35034479821721715,0.2070508332302173,0.4728334794441859,39.21186526119709,90.38895794004202
real,16,False,0.12118926209708054,0.28750794505079585,0.16651798536380133,0.35134679451584816,31.26682962104678,74.17704982310534
real,17,False,0.11910945549607277,0.3073972711960475,0.17197484026352564,0.4020024587710698,30.730239517986774,79.30849596858025
real,18,True,0.07593356383343537,0.2020657310883204,0.09888926800340414,0.2754428715755542,19.590859469026327,52.13295862078667
real,19,True,0.11202232415477435,0.2730896845459938,0.16219955744842687,0.49630018199483555,28.90175963193178,70.4571386128664
real,20,True,0.13029643831153712,0.3551357015967369,0.1812423368295034,0.47270290926098824,33.616481084376574,91.62501101195812
real,21,True,0.15589737085004648,0.32208073263367015,0.20598915219306946,0.39943380032976467,40.22152167931199,83.0968290194869
real,22,True,0.06530008108044665,0.2023810384174188,0.08068634352336328,0.23233015835285187,16.847420918755233,52.21430791169405
real,23,True,0.023622848248730104,0.0667043689948817,0.030757255852222443,0.08364041304836671,6.094694848172367,17.20972720067948
gaze_masked,0,False,0.04861491282160083,0.5635092953840891,0.2734671086072922,0.9990022157629331,12.542647507973015,145.385398209095
gaze_masked,1,False,0.05434568660954634,0.28853458166122437,0.5675284738341967,0.9995467637976011,14.021187145262957,74.44192206859589
gaze_masked,2,False,0.12430759146809578,0.2511499871810277,0.7002353568871816,0.9472269391020139,32.07135859876871,64.79669669270515
gaze_masked,3,False,0.02615724876523018,0.11152557252595822,0.7844536205132803,0.999795451760292,6.748570181429386,28.77359771169722
gaze_masked,4,False,0.14318237515787283,0.3102993580202262,0.38949159656961757,0.9873066246509552,36.94105279073119,80.05723436921835
gaze_masked,5,False,0.16878335177898407,0.37491703530152637,0.44332659989595413,0.9461758782466253,43.54610475897789,96.72859510779381
gaze_masked,6,False,0.1739510614424944,0.31582771614193916,0.449094720184803,0.8763481825590134,44.87937385216355,81.4835507646203
gaze_masked,7,False,0.2240941021591425,0.35016577566663426,0.44392968465884525,0.6617818499604861,57.81627835705876,90.34277012199163
gaze_masked,8,False,0.20927467569708824,0.3571622098485629,0.37290619189540547,0.6082543606559435,53.992866329848766,92.14785014092922
gaze_masked,9,False,0.15233674086630344,0.3001993993918101,0.274160698056221,0.5818690732121468,39.30287914350629,77.451445043087
gaze_masked,10,False,0.1503658058742682,0.2971982719997565,0.28566451494892436,0.5713580573598543,38.7943779155612,76.67715417593718
gaze_masked,11,False,0.15530727120737234,0.30716537808378536,0.2770726991196473,0.587511787811915,40.069275971502066,79.24866754561663
gaze_masked,12,False,0.13265584781765938,0.2612410858273506,0.23134453780949116,0.45895812660455704,34.22520873695612,67.40020014345646
gaze_masked,13,False,0.11854620619366567,0.3768574645121892,0.1916809237251679,0.5692289744814237,30.58492119796574,97.22922584414482
gaze_masked,14,False,0.10997347564746936,0.25643109530210495,0.17572394696374735,0.39390160019199055,28.373156717047095,66.15922258794308
gaze_masked,15,False,0.137633062278231,0.3134112283587456,0.21661351000269255,0.4997030273079872,35.509330067783594,80.86009691655636
gaze_masked,16,False,0.11390169492612283,0.267032769198219,0.17093155719339848,0.357442411283652,29.38663729093969,68.8944544531405
gaze_masked,17,False,0.11093271306405465,0.2886974277595679,0.1827371809631586,0.4199413135647774,28.6206399705261,74.48393636196852
gaze_masked,18,True,0.07276142031575243,0.1900235383460919,0.10601023708780606,0.28075594641268253,18.772446441464126,49.02607289329171
gaze_masked,19,True,0.10449192021042109,0.2371356232712666,0.17352750866363445,0.5375388637185097,26.95891541428864,61.18099080398679
gaze_masked,20,True,0.12287672671178977,0.32488643129666644,0.18917439877986908,0.48912859708070755,31.70219549164176,83.82069927453995
gaze_masked,21,True,0.1495956393579642,0.32460804159442586,0.20909922694166502,0.3932917279501756,38.59567495435476,83.74887473136187
gaze_masked,22,True,0.06578941099966566,0.2272152000417312,0.08408205319816868,0.23959599062800407,16.97366803791374,58.62152161076665
gaze_masked,23,True,0.023228819714859128,0.0730781687113146,0.031561520881950855,0.08518899946163098,5.993035486433655,18.854167527519166
both_masked,0,False,0.08974017420162757,0.9860614935557047,0.23211068908373514,0.9992133577664694,23.152964944019914,254.40386533737183
both_masked,1,False,0.08367511909455061,0.34475473935405415,0.5374741926789284,0.9984738479057947,21.588180726394057,88.94672275334597
both_masked,2,False,0.1785009608914455,0.30900632217526436,0.6573540692528089,0.906098465124766,46.05324790999293,79.7236311212182
both_masked,3,False,0.04712984493623177,0.1775373580555121,0.7639356106519699,0.9990660697221756,12.159499993547797,45.804638378322124
both_masked,4,False,0.1662315335124731,0.4002971611917019,0.36291200667619705,0.9830093408624331,42.88773564621806,103.27666758745909
both_masked,5,False,0.20228402875363827,0.40613070999582607,0.40604280307888985,0.9001868267854055,52.18927941843867,104.78172317892313
both_masked,6,False,0.21315638162195683,0.3875766011575858,0.40280669927597046,0.8109093382954597,54.99434645846486,99.99476309865713
both_masked,7,False,0.25333575531840324,0.3800811792413394,0.3935394436120987,0.5938828065991402,65.36062487214804,98.06094424426556
both_masked,8,False,0.22437218949198723,0.39083218201994896,0.3463561696310838,0.5468673929572105,57.888024888932705,100.83470296114683
both_masked,9,False,0.15854082194467387,0.33280161023139954,0.25757089753945667,0.5745790079236031,40.903532061725855,85.86281543970108
both_masked,10,False,0.1607561962058147,0.3298097737133503,0.27047865216930705,0.5491722300648689,41.47509862110019,85.09092161804438
both_masked,11,False,0.16296722119053206,0.33614863579471904,0.25999825820326805,0.5648958856860796,42.04554306715727,86.72634803503752
both_masked,12,False,0.14073525741696358,0.2949838141600291,0.21794195907811323,0.4201134368777275,36.3096964135766,76.1058240532875
both_masked,13,False,0.12364889650295179,0.39199089755614597,0.18177114489177862,0.5491812651356062,31.90141529776156,101.13365156948566
both_masked,14,False,0.11390121281147003,0.26446995325386524,0.1640230230987072,0.36936772242188454,29.386512905359268,68.23324793949723
both_masked,15,False,0.14397771718601385,0.32599322497844696,0.20314294658601284,0.46571996062994003,37.146251033991575,84.10625204443932
both_masked,16,False,0.11679441761225462,0.27504800135890645,0.1614901771148046,0.34094059591492015,30.132959743961692,70.96238435059786
both_masked,17,False,0.11647349564979474,0.30031416441003483,0.16923260129988194,0.3943537585437298,30.050161877647042,77.48105441778898
both_masked,18,True,0.07255958315605919,0.19213097542524338,0.09746015196045239,0.26714782292644185,18.72037245426327,49.56979165971279
both_masked,19,True,0.1080054488653938,0.2592242453247309,0.16279742928842703,0.5110703147947788,27.8654058072716,66.87985529378057
both_masked,20,True,0.13001571564624706,0.34177513296405476,0.18096856276194254,0.47772465522090596,33.544054636731744,88.17798430472612
both_masked,21,True,0.15412435432275137,0.32142523924509686,0.20245179968575636,0.3917343777914842,39.76408341526985,82.92771172523499
both_masked,22,True,0.06589728624870379,0.21416027968128523,0.0791659764945507,0.22356987496217093,17.00149985216558,55.25335215777159
both_masked,23,True,0.022969425500681002,0.06549836338187258,0.030628629804899294,0.08282700646668673,5.926111779175699,16.898577752523124
