clip,participant,recording,start_frame,gaze_valid_frac,hand_valid_frac,mse_real,condition,rel_last,rel_full,mse,d_mse
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,real,0.0,0.0,0.6339361071586609,0.0
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,identity,0.0,0.0,0.6339361071586609,0.0
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_swap,0.03632071241736412,0.053592927753925323,0.632916271686554,-0.0010198354721069336
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_mask,0.1874428540468216,0.1248093768954277,0.6372787356376648,0.0033426284790039062
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_zero,0.15515515208244324,0.12739655375480652,0.6314705014228821,-0.0024656057357788086
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_shuffle_time,0.02906452864408493,0.02157246693968773,0.6317251324653625,-0.00221097469329834
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,hand_swap,0.04600859433412552,0.043255794793367386,0.6364239454269409,0.0024878382682800293
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,hand_mask,0.11221359670162201,0.09501130133867264,0.635413646697998,0.0014775395393371582
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,hand_shuffle_time,0.03835612162947655,0.03402668610215187,0.6329345703125,-0.0010015368461608887
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,both_mask,0.18913529813289642,0.1234467551112175,0.6416308283805847,0.007694721221923828
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_yaw_1deg,0.0036054044030606747,0.003366808407008648,0.6344402432441711,0.0005041360855102539
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_yaw_2deg,0.007158051710575819,0.006549019366502762,0.6349363923072815,0.0010002851486206055
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_yaw_5deg,0.017769096419215202,0.016011931002140045,0.6362863779067993,0.0023502707481384277
0,P08,P08-20240613-122900,4578,1.0,1.0,0.6339361071586609,gaze_yaw_10deg,0.030589653179049492,0.028222981840372086,0.6376082897186279,0.003672182559967041
