lead_s,readout,alpha,skill,r2,r2_yawpitch,ang_err_deg_median,ang_err_deg_mean,depth_mae_m,n_test
0.0,spatial,100000.0,0.0005035739365206737,-0.2324023032366762,-0.318610699656681,11.204731867812963,12.213637831228061,0.5360240646681994,997
0.0,pooled,10.0,-0.10357327923531257,-0.3510998071161578,-0.4588802326643314,11.448913268064073,12.74476659304696,0.5857707949005546,997
0.0,baseline_mean,,0.0,-0.23861296474933624,-0.3182479739189148,11.78881549835205,12.426984786987305,0.5252034068107605,997
0.0,baseline_persistence,,1.0,1.0,1.0,0.002538902911942355,0.005778026728277376,0.0,997
0.25,spatial,100000.0,0.003997409044973921,-0.21314607056480886,-0.2946736603327915,11.12874799528448,12.136093604044111,0.5339146370382223,997
0.25,pooled,10.0,-0.0702907407223925,-0.3479006702765921,-0.39121597957236875,11.291430769391997,12.519313183516914,0.6735288722343257,997
0.25,baseline_mean,,0.0,-0.22181355953216553,-0.299893856048584,11.950862884521484,12.43837833404541,0.5185927152633667,997
0.25,baseline_persistence,,0.47302417930902596,0.3327262030105099,0.3151289829867138,4.230199228327964,6.546856099892746,0.33527040843260564,997
0.5,spatial,100000.0,-0.015232783879079337,-0.2446766018776189,-0.3332842428694468,11.616275439421196,12.494000032319608,0.5343961123214714,997
0.5,pooled,10.0,-0.035353676936340284,-0.30661474146191203,-0.3595745315350868,11.081058874884347,12.494576038322506,0.6130325353167723,997
0.5,baseline_mean,,0.0,-0.2287083864212036,-0.31281644105911255,12.121723175048828,12.661590576171875,0.5049311518669128,997
0.5,baseline_persistence,,0.16644599028634477,0.0017408989860855002,-0.09796183599591063,6.130194552083721,9.151414825791875,0.3962792901989211,997
1.0,spatial,100000.0,-0.007158093523632836,-0.27815964081626426,-0.35863640735405966,11.52674174524873,12.369980066499355,0.5729378270899466,997
1.0,pooled,10.0,-0.026052520251778066,-0.3813768280469057,-0.3841731749203301,11.405247734677571,12.399552567155816,0.7633367513022344,997
1.0,baseline_mean,,0.0,-0.25794878602027893,-0.351499080657959,12.051166534423828,12.515470504760742,0.5329124331474304,997
1.0,baseline_persistence,,-0.12372067734477166,-0.3389092501599222,-0.4882306621017559,8.14595596849249,11.151787774011462,0.5077256669655607,997
2.0,spatial,100000.0,-0.02654046919745734,-0.3061632341899582,-0.3922097896761343,11.887078843680946,12.9445587180261,0.594358035306936,997
2.0,pooled,10.0,-0.12447494708833462,-0.47215211457108913,-0.5232590163535633,12.429376366467187,13.585173077764832,0.7063981508398455,997
2.0,baseline_mean,,0.0,-0.2639215886592865,-0.3669218420982361,12.4939546585083,13.074945449829102,0.5460857152938843,997
2.0,baseline_persistence,,-0.12683108131397036,-0.3892333935675798,-0.4821048260665646,9.195822217139272,11.940234188793283,0.5661117623867458,997
