lead_s,readout,alpha,skill,r2,r2_yawpitch,ang_err_deg_median,ang_err_deg_mean,depth_mae_m,n_test
0.0,spatial,100000.0,0.11556092372425042,0.09877651573482808,0.09884151954356923,8.234111904049026,9.639121358162999,0.46403491742941577,995
0.0,pooled,10.0,0.1093049002235067,0.08741199235049353,0.09469780343284684,7.865988005044978,9.639730479868703,0.46819094925695354,995
0.0,baseline_mean,,0.0,-0.00014050801109988242,-3.88026237487793e-05,8.610734939575195,10.19360065460205,0.4653339684009552,995
0.0,baseline_persistence,,1.0,1.0,1.0,0.002562520779093714,0.0056133705902722385,0.0,995
0.25,spatial,100000.0,0.07079300405375044,0.05035993120374971,0.05358985949801154,8.11931077932721,9.628149774738198,0.47830045039800184,995
0.25,pooled,10.0,0.05149262194154702,0.058204851964240266,0.035655118008203424,8.15728100011863,9.814836742388014,0.4758173078390708,995
0.25,baseline_mean,,0.0,-0.0027969281654804945,-0.0021115541458129883,8.774895668029785,10.102849960327148,0.4683837294578552,995
0.25,baseline_persistence,,0.42163876409577716,0.4189575738401832,0.39503387963895786,3.80511341777779,6.058215538409739,0.2176358663257043,995
0.5,spatial,100000.0,0.055380815128296734,0.03175095286415793,0.04383052557625977,8.52533479625279,10.147090210116998,0.4827080141141649,995
0.5,pooled,10.0,0.0030937383749390923,0.015411482719170033,-0.008942434326161763,8.618628019436692,10.532612721915806,0.4878701778201589,995
0.5,baseline_mean,,0.0,-0.0009563763742335141,-0.00047898292541503906,9.251555442810059,10.543191909790039,0.46824508905410767,995
0.5,baseline_persistence,,0.008281084043805453,0.020112999971439078,-0.020641825291475957,6.130194552083721,9.0057868943692,0.3127065073006117,995
1.0,spatial,100000.0,-0.00028180919256759474,0.004600862616725543,-0.005476408842024438,9.111235888739317,10.556874971851542,0.5051132445954515,995
1.0,pooled,10.0,0.041950470545045415,0.02846689540622364,0.03704454800195356,9.03650077676862,10.534080387853109,0.5397795869793077,995
1.0,baseline_mean,,0.0,-0.0028467972297221422,-0.003946423530578613,9.15787410736084,10.681203842163086,0.47781693935394287,995
1.0,baseline_persistence,,-0.3330453318444695,-0.2541596249786675,-0.3412556392631957,8.21951846772147,11.151362031758953,0.37475470820413764,995
2.0,spatial,100000.0,0.015047141964701138,0.0034249780740532496,0.009729652268989808,9.05802605708404,10.832383368863079,0.5215807410730645,995
2.0,pooled,10.0,0.02444655014778363,-0.02001270692149097,0.018722131660786068,8.720766459621617,10.702086751131683,0.5671379460186986,995
2.0,baseline_mean,,0.0,-0.0033692915458232164,-0.00427013635635376,9.198404312133789,10.878914833068848,0.4944196045398712,995
2.0,baseline_persistence,,-0.35657637372737727,-0.3099305509096753,-0.3656619233883014,9.57890874556221,11.974767008578594,0.4146494231481648,995
