contrast,n,mean_delta,median_delta,ci_lo,ci_hi,wilcoxon_p,frac_positive
stock_ac:mask - finetuned:mask,96,0.12640946762015423,0.12602758407592773,0.1179792144879078,0.13491185971846184,1.781293897222056e-17,1.0
stock_ac:zeros - finetuned:zeros,96,0.04440415402253469,0.04186989367008209,0.04120556991547346,0.04769718861983468,1.781293897222056e-17,1.0
stock_ac:real - finetuned:real,96,0.05143573693931103,0.040452033281326294,0.043558808299712835,0.05923754804146786,4.4171109571977664e-17,0.9791666666666666
finetuned:mask - finetuned:real,96,-0.08157349284738302,-0.07910993695259094,-0.09065954034061481,-0.07295981422842791,1.781293897222056e-17,0.0
finetuned:zeros - finetuned:real,96,0.002926307419935862,-0.006391510367393494,-0.003712400305084884,0.009933922463096679,0.6373507645893857,0.375
finetuned:mean - finetuned:real,96,0.033245693892240524,0.021784096956253052,0.02587957843206823,0.041219050514822206,5.921542038334292e-15,0.8958333333333334
stock_ac:mask - stock_ac:real,96,-0.006599762166539828,-0.0021650195121765137,-0.010776460007764398,-0.002634249224017065,0.024151552001335546,0.4895833333333333
finetuned:zeros - finetuned:mask,96,0.08449980026731889,0.08461213111877441,0.07613572038244457,0.09288073994684963,1.781293897222056e-17,1.0
