lead_s,readout,alpha,skill,r2,r2_yawpitch,ang_err_deg_median,ang_err_deg_mean,depth_mae_m,n_test
0.0,spatial,100000.0,0.2733124164828439,0.23993442499012382,0.25405164713454254,8.044461365248848,9.570963934803599,0.4101337834043631,984
0.0,pooled,10.0,0.3239942001578915,0.30255339701001743,0.30031166655025043,7.198338530171931,9.068415273075134,0.39001914941579857,984
0.0,baseline_mean,,0.0,-0.0023210446815937757,-0.0034619569778442383,9.656901359558105,11.35429573059082,0.45398762822151184,984
0.0,baseline_persistence,,1.0,1.0,1.0,0.0,0.005452784100731173,0.0,984
0.25,spatial,100000.0,0.2304945965057651,0.2098014961125451,0.21072196666245857,8.012100152227177,9.581363722069677,0.42755626858433066,984
0.25,pooled,10.0,0.25908506492990024,0.24104218927314344,0.2326934865653229,7.570552572475042,9.329241137369081,0.4161600729549301,984
0.25,baseline_mean,,0.0,-0.0030132532119750977,-0.0045198798179626465,9.455971717834473,11.201171875,0.4681587517261505,984
0.25,baseline_persistence,,0.4471742863866922,0.4065323316998389,0.41033201720041484,3.8780006643462137,6.467351200864833,0.24825844353413193,984
0.5,spatial,100000.0,0.21884437318796612,0.21108891970792554,0.1985027923058732,8.04819532749193,9.64958632848928,0.40745702030489256,984
0.5,pooled,10.0,0.24964174525788474,0.2454364692099336,0.22483153275346252,7.873119889518447,9.442465696347673,0.40633007630434775,984
0.5,baseline_mean,,0.0,-0.0015610853442922235,-0.0023410916328430176,9.480175018310547,11.165424346923828,0.46647706627845764,984
0.5,baseline_persistence,,0.09129236010125097,0.05829947174669529,0.037371994651587026,6.117988363100935,9.077585087328602,0.3272941356630829,984
1.0,spatial,100000.0,0.18387108892784865,0.17207711925921662,0.16499092942211668,8.327799136267576,9.838363130570542,0.44758238251208265,984
1.0,pooled,10.0,0.2104627508757605,0.20275391627736203,0.18669028280593508,8.069675516741714,9.629922313301153,0.4367858008970552,984
1.0,baseline_mean,,0.0,-0.0015007654437795281,-0.0020146965980529785,9.676750183105469,11.138161659240723,0.48514923453330994,984
1.0,baseline_persistence,,-0.31528346141588104,-0.25499637764000044,-0.37373504570380217,8.659420992804389,11.558186576921491,0.386818758098454,984
2.0,spatial,100000.0,0.144921758311492,0.12351145420838953,0.11934624567911095,8.79670019766877,10.239651272888942,0.4911942775461122,984
2.0,pooled,100.0,0.17372625366549543,0.15464547011670116,0.1497389171036031,8.348372183771355,10.002762952914102,0.45289058636171714,984
2.0,baseline_mean,,0.0,-0.0015873908996582031,-0.002085566520690918,9.476579666137695,11.166156768798828,0.5152343511581421,984
2.0,baseline_persistence,,-0.3903015545520656,-0.3239716837415015,-0.45690167614080124,9.823695796561031,12.424030146672873,0.42831076181879857,984
