contrast,mean_delta,ci_lo,ci_hi,wilcoxon_p,frac_pos
sd1.0 masked - ft_v2 masked,-0.0007695859918991696,-0.0013105701344708566,-0.00024519580571601113,0.015246831051183669,0.3958333333333333
sd1.0 masked - ft_v2 real,0.00030612355719010384,-0.0003260871861129909,0.0009364689855525903,0.40474160496596745,0.5520833333333334
ft_v2 masked - ft_v2 real,0.0010757095490892734,0.00047122436420371755,0.0017196520542105064,0.0015142335850260023,0.6458333333333334
sd1.0 real   - sd1.0 masked,0.08157349284738304,0.07300089434720576,0.09027133285999299,1.781293897222056e-17,1.0
