contrast,n,mean_delta,median_delta,ci_lo,ci_hi,wilcoxon_p,frac_positive
stock_ac:mask - finetuned:mask,96,0.12487304614235957,0.13085775077342987,0.1166405078334113,0.13302722338121384,1.781293897222056e-17,1.0
stock_ac:zeros - finetuned:zeros,96,0.12700813356786966,0.12932732701301575,0.11772272576733182,0.13622103817760944,1.781293897222056e-17,1.0
stock_ac:real - finetuned:real,96,0.13169116961459318,0.13078351318836212,0.12217656595166772,0.14152879412285982,1.781293897222056e-17,1.0
finetuned:mask - finetuned:real,96,0.0010757095490892727,0.0008505880832672119,0.0004578910302370787,0.0017253912597273784,0.0015142335850260023,0.6458333333333334
finetuned:zeros - finetuned:real,96,0.00220194427917401,0.0019337832927703857,0.00152582087709258,0.002879922953434288,1.2721660879085048e-08,0.75
finetuned:mean - finetuned:real,96,0.0006993732725580534,0.0004772692918777466,0.00020088835153728724,0.0011954747761289267,0.0009182034716951171,0.65625
stock_ac:mask - stock_ac:real,96,-0.0057424139231443405,-0.0013849139213562012,-0.009420108802927037,-0.0025415569699058943,0.03498453661505739,0.4479166666666667
finetuned:zeros - finetuned:mask,96,0.001126234730084737,0.0015114694833755493,0.0003760795419414838,0.001854419118414322,0.002250576423037789,0.65625
