checkpoint,group,norm,n_params,ratio_to_init,epoch,loss
init,gaze_proj.weight,1.097638438884631,3072,1.0,,
init,gaze_proj.bias,0.0,1024,1.0,,
init,gaze_mask,0.666254867586029,1024,1.0,,
init,hand_proj.weight,2.2159066046854226,12288,1.0,,
init,hand_proj.bias,0.0,1024,1.0,,
init,hand_mask,0.6233089457890323,1024,1.0,,
init,blocks_18-23,474.75944163771686,75577344,1.0,,
init,predictor_norm,35.35960914712973,2048,1.0,,
init,predictor_proj,70.95026869276057,1443200,1.0,,
init,blocks_0-17 [frozen],823.2681384764369,226732032,1.0,,
init,predictor_embed [frozen],72.52372216798865,1442816,1.0,,
ego_ft_v2/best.pt,gaze_proj.weight,1.2702585337907208,3072,1.1572649870767084,3.0,0.5066320426610051
ego_ft_v2/best.pt,gaze_proj.bias,0.5719362945227122,1024,,3.0,0.5066320426610051
ego_ft_v2/best.pt,gaze_mask,0.7834202948112485,1024,1.175856767320489,3.0,0.5066320426610051
ego_ft_v2/best.pt,hand_proj.weight,2.6036860416668053,12288,1.1749980961117417,3.0,0.5066320426610051
ego_ft_v2/best.pt,hand_proj.bias,0.5592685704769578,1024,,3.0,0.5066320426610051
ego_ft_v2/best.pt,hand_mask,0.7927619777244952,1024,1.271860420230222,3.0,0.5066320426610051
ego_ft_v2/best.pt,blocks_18-23,474.87443625030585,75577344,1.000242216589084,3.0,0.5066320426610051
ego_ft_v2/best.pt,predictor_norm,35.332202600134266,2048,0.9992249194022076,3.0,0.5066320426610051
ego_ft_v2/best.pt,predictor_proj,70.9466788567093,1443200,0.9999494034889872,3.0,0.5066320426610051
ego_ft_v2/best.pt,blocks_0-17 [frozen],823.2681384764369,226732032,1.0,3.0,0.5066320426610051
ego_ft_v2/best.pt,predictor_embed [frozen],72.52372216798865,1442816,1.0,3.0,0.5066320426610051
ego_ft_v2/final.pt,gaze_proj.weight,1.2702585337907208,3072,1.1572649870767084,3.0,0.5066320426610051
ego_ft_v2/final.pt,gaze_proj.bias,0.5719362945227122,1024,,3.0,0.5066320426610051
ego_ft_v2/final.pt,gaze_mask,0.7834202948112485,1024,1.175856767320489,3.0,0.5066320426610051
ego_ft_v2/final.pt,hand_proj.weight,2.6036860416668053,12288,1.1749980961117417,3.0,0.5066320426610051
ego_ft_v2/final.pt,hand_proj.bias,0.5592685704769578,1024,,3.0,0.5066320426610051
ego_ft_v2/final.pt,hand_mask,0.7927619777244952,1024,1.271860420230222,3.0,0.5066320426610051
ego_ft_v2/final.pt,blocks_18-23,474.87443625030585,75577344,1.000242216589084,3.0,0.5066320426610051
ego_ft_v2/final.pt,predictor_norm,35.332202600134266,2048,0.9992249194022076,3.0,0.5066320426610051
ego_ft_v2/final.pt,predictor_proj,70.9466788567093,1443200,0.9999494034889872,3.0,0.5066320426610051
ego_ft_v2/final.pt,blocks_0-17 [frozen],823.2681384764369,226732032,1.0,3.0,0.5066320426610051
ego_ft_v2/final.pt,predictor_embed [frozen],72.52372216798865,1442816,1.0,3.0,0.5066320426610051
ego_ft_quick/best.pt,gaze_proj.weight,1.2219269743887442,3072,1.1132326739854423,1.0,0.5413188229004542
ego_ft_quick/best.pt,gaze_proj.bias,0.2419855290836941,1024,,1.0,0.5413188229004542
ego_ft_quick/best.pt,gaze_mask,0.8375378557446211,1024,1.2570832822267906,1.0,0.5413188229004542
ego_ft_quick/best.pt,hand_proj.weight,2.434066604060314,12288,1.0984518024873444,1.0,0.5413188229004542
ego_ft_quick/best.pt,hand_proj.bias,0.30333713698535003,1024,,1.0,0.5413188229004542
ego_ft_quick/best.pt,hand_mask,0.6905762599126941,1024,1.1079196994975096,1.0,0.5413188229004542
ego_ft_quick/best.pt,blocks_18-23,474.8656258067004,75577344,1.00022365888842,1.0,0.5413188229004542
ego_ft_quick/best.pt,predictor_norm,35.34162696445475,2048,0.9994914484885803,1.0,0.5413188229004542
ego_ft_quick/best.pt,predictor_proj,70.93499619522724,1443200,0.9997847436265609,1.0,0.5413188229004542
ego_ft_quick/best.pt,blocks_0-17 [frozen],823.2681384764369,226732032,1.0,1.0,0.5413188229004542
ego_ft_quick/best.pt,predictor_embed [frozen],72.52372216798865,1442816,1.0,1.0,0.5413188229004542
ego_finetune/best.pt,gaze_proj.weight,1.2294125822806974,3072,1.1200524131880523,1.0,0.5282872407839401
ego_finetune/best.pt,gaze_proj.bias,0.3553965149309831,1024,,1.0,0.5282872407839401
ego_finetune/best.pt,gaze_mask,0.8242034187518138,1024,1.2370692641061867,1.0,0.5282872407839401
ego_finetune/best.pt,hand_proj.weight,2.5301288900602246,12288,1.1418030366037968,1.0,0.5282872407839401
ego_finetune/best.pt,hand_proj.bias,0.6143554221804942,1024,,1.0,0.5282872407839401
ego_finetune/best.pt,hand_mask,0.8460908137699369,1024,1.3574180500472206,1.0,0.5282872407839401
ego_finetune/best.pt,blocks_18-23,474.9735507834782,75577344,1.0004509844923204,1.0,0.5282872407839401
ego_finetune/best.pt,predictor_norm,35.33122155825895,2048,0.9991971746986044,1.0,0.5282872407839401
ego_finetune/best.pt,predictor_proj,70.89728966322362,1443200,0.99925329346156,1.0,0.5282872407839401
ego_finetune/best.pt,blocks_0-17 [frozen],823.2681384764369,226732032,1.0,1.0,0.5282872407839401
ego_finetune/best.pt,predictor_embed [frozen],72.52372216798865,1442816,1.0,1.0,0.5282872407839401
